# MEAN_SAMPLE_SIZE = 90438
# TOTAL_GENES = 18882
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
BASSO_CD40_SIGNALING_UP                  SET      98     0.047416    0.0034072     0.086414      0.29161 BASSO_CD40_SIGNALING_UP
BASSO_HAIRY_CELL_LEUKEMIA_DN             SET       5     -0.17539   -0.0028537      0.37997      0.67781 BASSO_HAIRY_CELL_LEUKEMIA_DN
BASSO_HAIRY_CELL_LEUKEMIA_UP             SET      77     0.063774    0.0040643      0.10153      0.26496 BASSO_HAIRY_CELL_LEUKEMIA_UP
BAUS_TFF2_TARGETS_DN                     SET      11    0.0071901    0.0001735      0.22883      0.48747 BAUS_TFF2_TARGETS_DN
BAUS_TFF2_TARGETS_UP                     SET      31     -0.19175   -0.0077632      0.14844      0.90177 BAUS_TFF2_TARGETS_UP
BECKER_TAMOXIFEN_RESISTANCE_...1         SET      51     -0.18251   -0.0094725      0.11922      0.93708 BECKER_TAMOXIFEN_RESISTANCE_DN
BECKER_TAMOXIFEN_RESISTANCE_...2         SET      52     0.032641    0.0017106      0.11265        0.386 BECKER_TAMOXIFEN_RESISTANCE_UP
BEGUM_TARGETS_OF_PAX3_FOXO1_...1         SET       7      0.38125    0.0073394      0.37199      0.15272 BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_AND_PAX3
BEGUM_TARGETS_OF_PAX3_FOXO1_...2         SET      45    -0.061138   -0.0029812      0.14079      0.66795 BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_DN
BEGUM_TARGETS_OF_PAX3_FOXO1_...3         SET      54    -0.048245   -0.0025764      0.12616      0.64892 BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_UP
BEIER_GLIOMA_STEM_CELL_DN                SET      64     -0.20217     -0.01175       0.1033      0.97482 BEIER_GLIOMA_STEM_CELL_DN
BEIER_GLIOMA_STEM_CELL_UP                SET      36    -0.047442   -0.0020696      0.13925      0.63333 BEIER_GLIOMA_STEM_CELL_UP
BENITEZ_GBM_PROTEASOME_INHIB...          SET      47     -0.10509   -0.0052369      0.11907      0.81127 BENITEZ_GBM_PROTEASOME_INHIBITION_RESPONSE
BENNETT_SYSTEMIC_LUPUS_ERYTH...          SET      29   -0.0072146  -0.00028253      0.17109      0.51682 BENNETT_SYSTEMIC_LUPUS_ERYTHEMATOSUS
BENPORATH_CYCLING_GENES                  SET     618     0.055881    0.0099431       0.0327     0.043742 BENPORATH_CYCLING_GENES
BENPORATH_EED_TARGETS                    SET     940     0.067549     0.014692     0.031115     0.014975 BENPORATH_EED_TARGETS
BENPORATH_ES_1                           SET     350     0.063184    0.0085224     0.044018     0.075593 BENPORATH_ES_1
BENPORATH_ES_2                           SET      36     0.047729    0.0020821      0.12753      0.35411 BENPORATH_ES_2
BENPORATH_ES_CORE_NINE                   SET       8    -0.054605   -0.0011237      0.28613      0.57567 BENPORATH_ES_CORE_NINE
BENPORATH_ES_CORE_NINE_CORRE...          SET      96     0.024173    0.0017193     0.085907      0.38921 BENPORATH_ES_CORE_NINE_CORRELATED
